codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
902212,,10,-22.917604,-43.6843,1740100930000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],138967.4,168,1.0
902154,SQX3F84,10,-23.00108,-43.367956,1740100969000,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],0.0,263,1.0
902211,,13,-22.921094,-43.645681,1740099607000,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],134727.0, ,0.0
902220,,13,-23.00098,-43.367648,1740099059000,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],136427.0, ,0.0
902219,,11,-23.005561,-43.432173,1740100979000,0.0,,volta,11 - ALVORADA X SANTA CRUZ (PARADOR) [VOLTA],145958.8,245,1.0
902210,,20,-23.01597,-43.473153,1740100971000,57.9,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],142965.1,255,1.0
902263,,10,-23.019471,-43.486776,1740100976000,22.8,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],107745.5,252,1.0
902189,,10,-22.930708,-43.673715,1740100862000,19.8,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],116111.2,135,1.0
902208,,25,-22.920726,-43.64561,1740100971000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],136489.6,343,1.0
902202,,10,-22.92849,-43.653913,1740100986000,28.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],136930.9,234,1.0
902184,,10,-23.008183,-43.441718,1740100961000,34.4,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],81360.3,75,1.0
902206,,18,-22.9722,-43.401612,1740099746000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],132772.299, ,0.0
902203,,12,-22.99333,-43.597285,1740100989000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],90026.9,147,1.0
902187,,25,-22.920515,-43.645325,1740099069000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],121026.3,285,0.0
902264,,15,-22.919505,-43.645809,1740100166000,0.0,,ida,15 - CURRAL FALSO X ALVORADA [IDA],153441.3,252,0.0
902266,,10,-23.019427,-43.485919,1740100973000,43.1,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],125747.4,75,1.0
902268,,20,-22.927799,-43.677246,1740100947000,23.4,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],100408.5,313,1.0
902271,,0,-22.919991,-43.608425,1735869681000,0.0,,,,135715.5, ,0.0
902286,,10,-23.000671,-43.364682,1740100984000,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],85546.9, ,1.0
902292,,19,-22.919837,-43.6073,1740100717000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],185513.8,89,0.0
902293,,20,-22.93575,-43.666524,1740100980000,14.1,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],105489.6,48,1.0
902280,,20,-22.920532,-43.6075,1740096137000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],100679.7,336,0.0
902275,,19,-22.842711,-43.253928,1738408359000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],43458.3,200,0.0
902261,,19,-22.9209,-43.645879,1740100817000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],97499.7,165,0.0
902281,,12,-22.919563,-43.64574,1740100268000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],100825.3,252,0.0
902252,,19,-22.920343,-43.606974,1740100399000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],98912.5, ,0.0
902277,,18,-22.919974,-43.646019,1740100979000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],107280.3,170,1.0
902246,,18,-22.920131,-43.608319,1740099172000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],136925.3, ,0.0
902244,,15,-22.915519,-43.617115,1740100989000,44.0,,ida,15 - CURRAL FALSO X ALVORADA [IDA],126457.5,92,1.0
902282,,20,-22.969605,-43.626627,1740100980000,59.2,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],101817.1,78,1.0
902258,,20,-22.919666,-43.645703,1740100987000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],102322.8,252,1.0
902287,,19,-22.920171,-43.646055,1740099781000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],97124.5,292,0.0
902276,,12,-22.920738,-43.608165,1740099043000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],110317.5, ,0.0
902226,,10,-22.920678,-43.645238,1740100379000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],125952.2, ,0.0
902216,,10,-23.000954,-43.367285,1740100686000,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],106359.4, ,0.0
902237,,22,-23.000986,-43.367441,1740099429000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],110072.2, ,0.0
902223,,25,-23.020507,-43.500475,1740100963000,22.1,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],1161.4,290,1.0
902215,,0,-22.988186,-43.603936,1740100973000,56.9,,,,132806.1,133,1.0
902122,SQX3B59,10,-22.963413,-43.390088,1740100970000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],143231.9, ,1.0
902290,,20,-22.939205,-43.666345,1740100978000,39.0,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],98812.6,340,1.0
902291,,20,-23.017478,-43.511501,1740100949000,54.1,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],114046.4,287,1.0
902257,,10,-23.019338,-43.505465,1740100984000,60.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],103196.5,107,1.0
902231,,0,-22.92388,-43.648716,1740100985000,0.0,,,,124671.0,45,1.0
902289,,10,-22.999463,-43.582664,1740100973000,48.3,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],70285.5,284,1.0
902236,,11,-23.017038,-43.476733,1740100986000,11.2,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],93186.6,63,1.0
902273,,17,-22.919976,-43.60825,1739667193000,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],101547.7, ,0.0
902253,,20,-23.011831,-43.45617,1740100975000,56.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],108114.4,74,1.0
902285,,19,-22.920223,-43.646029,1740099595000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],97601.3, ,0.0
902240,,12,-23.000689,-43.366304,1740100176000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],134532.9, ,0.0
902228,,25,-22.920085,-43.60826,1740099113000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],147175.8, ,0.0
902242,,12,-22.91964,-43.645727,1740100490000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],127924.1,260,0.0
902225,,18,-22.919577,-43.645727,1740100399000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],117749.9,257,0.0
902247,,18,-22.920011,-43.608471,1740098150000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],123255.2, ,0.0
902279,,19,-22.920327,-43.645933,1740100682000,0.1,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],104561.2,79,0.0
902259,,20,-22.921329,-43.645884,1740100974000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],125452.2, ,1.0
902232,,11,-22.920551,-43.608138,1740099605000,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],137375.7, ,0.0
902233,,13,-22.920496,-43.607449,1740100969000,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],133054.2, ,1.0
902238,,10,-22.921185,-43.645936,1740100983000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],155467.4, ,1.0
902413,,12,-23.000185,-43.366921,1740100977000,20.2,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],136576.0,302,1.0
902245,,10,-22.926193,-43.678871,1740100978000,41.9,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],137173.0,334,1.0
902260,,20,-22.993476,-43.597012,1740100979000,0.7,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],101702.7,309,1.0
902283,,20,-22.920921,-43.645761,1740099558000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],718960.5, ,0.0
902120,,25,-22.935405,-43.666134,1740100978000,0.1,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],125187.3,240,1.0
902205,,13,-22.920662,-43.645864,1740099441000,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],131877.5,173,0.0
861039050300660,,0,-22.848323,-43.397092,1703783970000,0.0,,,,115.5, ,
902243,,25,-23.000433,-43.392993,1740100985000,50.8,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],130183.7,92,1.0
901101,,67,-22.855576,-43.491149,1740100974000,31.5,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],3378.2,66,1.0
902270,,20,-22.920897,-43.645815,1740099031000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],93013.1, ,0.0
902152,,15,-22.921084,-43.645744,1740099673000,0.0,,ida,15 - CURRAL FALSO X ALVORADA [IDA],118628.8, ,0.0
902234,,15,-23.033154,-43.530419,1740100981000,148.7,,ida,15 - CURRAL FALSO X ALVORADA [IDA],130812.6,134,1.0
902432,,13,-23.018241,-43.508818,1740100976000,55.7,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],135840.9,287,1.0
902269,,10,-22.920067,-43.608439,1736398012000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],34574.1, ,0.0
902296,,20,-22.9356,-43.667154,1740100976000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],98767.0,181,1.0
902235,,12,-23.001041,-43.36442,1740100988000,19.9,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],135305.5,241,1.0
902295,,20,-22.919934,-43.607224,1740100112000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],64154.2, ,0.0
902288,,19,-22.920241,-43.646011,1740099502000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],60502.4, ,0.0
902294,,20,-22.920103,-43.608263,1740100982000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],58533.3, ,1.0
902412,,15,-23.007316,-43.438601,1740100975000,38.6,,ida,15 - CURRAL FALSO X ALVORADA [IDA],124979.0,73,1.0
902123,,22,-22.920803,-43.607766,1740100975000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],126171.4, ,1.0
902416,,60,-22.848977,-43.397147,1740100348000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],57029.3, ,0.0
902423,,90,-22.82845,-43.272603,1740100984000,57.1,,ida,90 - FUNDÃO X TIG (PARADOR) [IDA],59715.6,309,1.0
902141,,20,-22.919992,-43.608566,1732376064000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],53417.7, ,0.0
902254,,20,-23.004964,-43.43041,1740100978000,25.6,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],66243.8,251,1.0
902255,,60,-22.849653,-43.398505,1726970363000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],14082.1, ,0.0
902256,,20,-22.920923,-43.645966,1740097660000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],88790.9,163,0.0
902297,,10,-22.940951,-43.664289,1740100980000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],62889.7, ,1.0
902419,,12,-22.920735,-43.643952,1740100974000,32.3,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],125412.4,238,1.0
902421,,90,-22.890712,-43.216856,1740100982000,58.9,,volta,90 - TIG x FUNDÃO (PARADOR) [VOLTA],68117.3,335,1.0
902426,,0,-22.849692,-43.397615,1740098070000,0.0,,,,89308.1,230,1.0
902427,,43,-22.839482,-43.240402,1740099800000,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],21305.7, ,0.0
902428,,80,-22.854541,-43.251418,1740100133000,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],26832.7,32,0.0
902430,,60,-22.830159,-43.348352,1740100979000,58.4,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],35324.3,68,1.0
902440,,31,-22.839614,-43.24027,1740097639000,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],68646.9, ,0.0
902185,,18,-22.972407,-43.401522,1740097693000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],121928.6,223,0.0
902272,,20,-22.928987,-43.675832,1740100988000,54.4,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],85328.1,131,1.0
902155,,46,-23.000687,-43.364798,1740100303000,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],68210.7, ,0.0
902248,,15,-22.917025,-43.684447,1740100977000,25.9,,ida,15 - CURRAL FALSO X ALVORADA [IDA],76876.7,165,1.0
902249,,18,-22.921126,-43.645751,1740096053000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],119526.2, ,0.0
902278,,19,-22.920217,-43.645971,1740097899000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],59540.5, ,0.0
902284,,18,-22.920657,-43.645811,1740100984000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],98532.0, ,0.0
902415,,52,-23.00142,-43.36684,1740100972000,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],65632.8,87,1.0
902417,,71,-22.849409,-43.398311,1740026166000,0.0,,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],63557.2, ,1.0
902420,,60,-22.848688,-43.397669,1740096288000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],65017.2,112,0.0
902435,,90,-22.846265,-43.239893,1740100982000,35.5,,ida,90 - FUNDÃO X TIG (PARADOR) [IDA],48482.6,231,1.0
902267,,19,-22.92013,-43.646047,1740100803000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],85660.6,285,0.0
861039050288238,,0,-22.848522,-43.396623,1707135466000,0.0,,,,0.5, ,
902447,,31,-22.99973,-43.368644,1740100970000,30.5,,volta,31 - ALVORADA X VICENTE DE CARVALHO (SEMIDIRETO) [VOLTA],57407.3,20,1.0
902437,,80,-22.898381,-43.211795,1740100984000,0.0,,volta,80 - TIG X PENHA (PARADOR) [VOLTA],13098.1,130,1.0
902422,,10,-23.002296,-43.571037,1740100988000,58.3,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],96045.2,284,1.0
902441,,31,-23.001019,-43.365609,1740100968000,17.1,,volta,31 - ALVORADA X VICENTE DE CARVALHO (SEMIDIRETO) [VOLTA],6431.9,269,1.0
7001,SWK-7A92,ESP01,-22.81739,-43.239346,1740100981000,65.8,,ida,ESP01 - GALEÃO X TIG (DIRETO) [IDA],96121.1,126,1.0
7000,SWJ-2G40,ESP01,-22.893699,-43.21546,1740100962000,50.2,,volta,ESP01 - TIG X GALEÃO (DIRETO) [VOLTA],953.2,339,1.0
7002,SWS6D22,ESP01,-22.899407,-43.210246,1740100988000,0.0,,volta,ESP01 - TIG X GALEÃO (DIRETO) [VOLTA],97717.5,100,1.0
7005,SWS-8A95,ESP01,-22.874808,-43.227347,1740100657000,0.0,,ida,ESP01 - GALEÃO X TIG (DIRETO) [IDA],8878.6, ,0.0
7003,SWU-6E33,ESP01,-22.874863,-43.227323,1740100078000,0.0,,ida,ESP01 - GALEÃO X TIG (DIRETO) [IDA],122610.9, ,0.0
7004,SWH-6A35,ESP01,-22.813201,-43.24645,1740100971000,8.3,,ida,ESP01 - GALEÃO X TIG (DIRETO) [IDA],102938.0,179,1.0
902436,,0,-22.865412,-43.247871,1740100978000,44.8,,,,47888.3,172,1.0
902452,,46,-22.872763,-43.336306,1740100975000,35.8,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],7164.3,354,1.0
902450,,31,-22.841277,-43.276172,1740100982000,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],54330.9,289,1.0
902448,,80,-22.860269,-43.247835,1740100964000,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],6643.8,183,1.0
902453,,80,-22.854745,-43.251853,1740100064000,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],69835.7, ,0.0
902442,,80,-22.854625,-43.251643,1740099713000,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],37751.4,205,0.0
902425,,60,-22.848253,-43.39717,1740097714000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],52847.7,95,0.0
902229,,25,-23.000997,-43.367628,1740099223000,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],90044.3,127,0.0
902429,,46,-23.001176,-43.36827,1740100983000,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],43564.4,147,1.0
902418,,51,-22.849484,-43.39713,1739929315000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],60882.4,239,1.0
902446,,0,-22.839581,-43.240258,1740099648000,0.0,,,,33486.1,195,0.0
902318,,60,-22.898285,-43.211383,1740100980000,0.0,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],75165.6, ,1.0
902433,,60,-22.849926,-43.398734,1740100877000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],48236.3, ,1.0
902302,,51,-22.850266,-43.398113,1740100059000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],75710.2, ,0.0
902424,,80,-22.898542,-43.211338,1740100933000,0.0,,volta,80 - TIG X PENHA (PARADOR) [VOLTA],59349.0,59,1.0
902324,,60,-22.848909,-43.397299,1740100977000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],54987.4,107,1.0
902444,,90,-22.859887,-43.247747,1740100985000,22.5,,volta,90 - TIG x FUNDÃO (PARADOR) [VOLTA],21755.1, ,1.0
902389,,35,-22.888292,-43.345732,1740100987000,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],2929.6,278,1.0
902358,,60,-22.848947,-43.397503,1740100732000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],3821.7,87,0.0
902393,,60,-22.849106,-43.397281,1740099325000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],4188.899,122,0.0
902385,,0,-22.848876,-43.397372,1740100965000,0.0,,,,4443.8,102,1.0
902379,,52,-22.848795,-43.397541,1740100733000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],2084.6,110,0.0
902381,,52,-23.001345,-43.36817,1740100982000,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],2462.0,133,1.0
902342,,60,-22.848992,-43.397212,1740100790000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],3468.0,111,0.0
902357,,80,-22.849815,-43.398417,1740100973000,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],4021.5,210,1.0
902384,,60,-22.849829,-43.398524,1740100134000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],59302.7, ,0.0
